Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2016.0229019798217,Phishing,Government,231.0,237.0,Unknown,,VPN,408.0
Japan,2015.195275829972,SQL Injection,IT,171.0,241.0,Unknown,Weak Passwords,VPN,333.0
Russia,2018.211793042832,Unknown,Healthcare,157.0,257.0,Unknown,Unpatched Software,AI-based Detection,209.0
Australia,2018.0428822193185,Ransomware,Education,287.0,,Insider,Zero-day,Firewall,342.0
UK,2017.166583346196,Man-in-the-Middle,Government,298.0,327.0,Hacker Group,Unpatched Software,Firewall,404.0
Brazil,2023.074389214965,Phishing,Banking,282.0,305.0,Nation-state,Zero-day,Antivirus,289.0
UK,2022.051026058403,DDoS,Education,314.0,378.0,Nation-state,Unpatched Software,Firewall,256.0
Japan,2014.977729497774,Unknown,Retail,218.0,250.0,Nation-state,Weak Passwords,VPN,418.0
Germany,2021.82514061286,Phishing,Banking,338.0,324.0,Unknown,Weak Passwords,Antivirus,374.0
Brazil,2023.1244719190663,DDoS,IT,412.0,394.0,Nation-state,Social Engineering,AI-based Detection,423.0
Brazil,2018.9066779134928,Man-in-the-Middle,Government,256.0,270.0,Unknown,Weak Passwords,Encryption,372.0
China,2018.065299640868,Malware,Banking,137.0,220.0,Insider,Zero-day,Unknown,232.0
Japan,2018.7557380779404,Unknown,IT,278.0,329.0,Unknown,Zero-day,Antivirus,333.0
France,2019.9884661418685,Man-in-the-Middle,Retail,317.0,334.0,Hacker Group,Zero-day,VPN,374.0
Russia,2024.1143227050463,SQL Injection,Healthcare,515.0,528.0,Nation-state,Unpatched Software,Antivirus,367.0
India,2022.086280341815,Malware,IT,312.0,368.0,Nation-state,Social Engineering,AI-based Detection,279.0
India,2020.0315083790613,Phishing,Education,228.0,303.0,Hacker Group,Zero-day,Antivirus,259.0
China,2023.1239006776773,Man-in-the-Middle,Telecommunications,456.0,410.0,Hacker Group,Zero-day,AI-based Detection,458.0
Brazil,2021.9950661870496,Malware,Retail,305.0,364.0,Insider,Unpatched Software,Firewall,246.0
USA,2021.1003438438024,Ransomware,Education,,374.0,Unknown,Social Engineering,AI-based Detection,342.0
Russia,,Malware,IT,287.0,,Nation-state,Zero-day,AI-based Detection,291.0
USA,2019.86904241326,Ransomware,IT,267.0,266.0,Nation-state,Zero-day,VPN,388.0
China,2022.7698050352865,Phishing,Retail,364.0,346.0,Unknown,Zero-day,Unknown,381.0
USA,2020.1917481570629,Phishing,Retail,323.0,358.0,,Weak Passwords,VPN,348.0
Russia,2018.107742017845,SQL Injection,Education,236.0,276.0,Nation-state,Weak Passwords,Firewall,335.0
Australia,2015.0597153644253,DDoS,Government,176.0,236.0,Nation-state,Zero-day,Antivirus,331.0
Germany,2020.9945349344555,DDoS,Banking,362.0,395.0,Nation-state,Zero-day,Encryption,336.0
Russia,2021.036831929084,DDoS,Education,326.0,355.0,Hacker Group,Weak Passwords,Antivirus,331.0
France,2019.0190900824805,Phishing,Telecommunications,238.0,241.0,Unknown,Social Engineering,Antivirus,383.0
Unknown,2024.0850173277352,DDoS,Education,307.0,340.0,Insider,Weak Passwords,Firewall,245.0
France,2023.1625659394924,Unknown,Government,450.0,437.0,Hacker Group,Zero-day,VPN,395.0
USA,2023.9421771677728,Phishing,IT,326.0,374.0,Unknown,Zero-day,VPN,237.0
Russia,2017.162923686443,Phishing,Banking,266.0,300.0,Insider,Zero-day,Encryption,385.0
Japan,2021.832947290964,SQL Injection,Government,487.0,483.0,Unknown,Social Engineering,Antivirus,440.0
Brazil,2017.1669059586663,Ransomware,Education,273.0,258.0,Insider,Social Engineering,Antivirus,462.0
India,2023.9274108274096,SQL Injection,Telecommunications,294.0,328.0,Unknown,Zero-day,AI-based Detection,256.0
Brazil,2018.8620570189305,Malware,Government,,318.0,Nation-state,Social Engineering,AI-based Detection,342.0
Australia,2016.134287461629,Malware,Retail,286.0,305.0,Nation-state,Weak Passwords,Antivirus,447.0
Germany,2023.081388028552,Ransomware,Healthcare,327.0,388.0,Unknown,Weak Passwords,AI-based Detection,260.0
UK,2016.1103475614127,DDoS,Retail,213.0,277.0,Hacker Group,Zero-day,Firewall,338.0
Russia,2015.108224395018,DDoS,Telecommunications,136.0,255.0,Unknown,Social Engineering,VPN,247.0
USA,2021.108648306716,Man-in-the-Middle,Telecommunications,381.0,425.0,Nation-state,Unpatched Software,Firewall,342.0
Russia,2022.2866345044056,Man-in-the-Middle,IT,460.0,431.0,Nation-state,Unpatched Software,Encryption,452.0
France,2016.987855287322,DDoS,Healthcare,104.0,221.0,Hacker Group,Weak Passwords,Encryption,192.0
Russia,2015.0307643948693,Man-in-the-Middle,Government,,318.0,Unknown,Weak Passwords,Encryption,
UK,2018.944089626732,DDoS,Banking,92.0,168.0,Nation-state,Unpatched Software,VPN,206.0
China,2021.919178003948,Ransomware,Government,433.0,394.0,Insider,Zero-day,VPN,460.0
UK,2016.868594657799,Malware,Government,216.0,267.0,Hacker Group,Social Engineering,Firewall,339.0
Russia,2021.0167079382004,DDoS,IT,313.0,325.0,Unknown,Social Engineering,Encryption,371.0
Germany,2017.1805432310705,Malware,Banking,265.0,296.0,Hacker Group,Zero-day,AI-based Detection,391.0
China,2020.2902480173927,Ransomware,IT,339.0,343.0,Nation-state,Zero-day,Firewall,402.0
Russia,2017.9556787545305,SQL Injection,Banking,140.0,221.0,Unknown,Unknown,VPN,241.0
UK,2022.0967451014,Malware,Retail,304.0,372.0,Insider,Social Engineering,VPN,254.0
China,2017.9167971662453,DDoS,IT,274.0,286.0,Nation-state,Social Engineering,VPN,403.0
China,2024.046291706811,Man-in-the-Middle,IT,322.0,392.0,Hacker Group,Zero-day,Encryption,198.0
Unknown,2019.1063798286136,Malware,Banking,270.0,309.0,Insider,Weak Passwords,AI-based Detection,336.0
Australia,2019.0078335467592,Phishing,Retail,160.0,217.0,Insider,Zero-day,Antivirus,265.0
France,2020.932966738425,Man-in-the-Middle,Healthcare,379.0,396.0,Nation-state,Zero-day,Antivirus,373.0
Japan,2016.7100111048703,Ransomware,Retail,233.0,258.0,Insider,Unpatched Software,VPN,381.0
USA,2023.962333149674,Phishing,Telecommunications,563.0,495.0,Hacker Group,Weak Passwords,,519.0
UK,2014.971092220464,Ransomware,Government,87.0,151.0,Insider,Social Engineering,VPN,314.0
Brazil,2019.8447405752568,Man-in-the-Middle,Healthcare,,318.0,Unknown,Unknown,Antivirus,415.0
Unknown,2016.0678504900047,SQL Injection,Telecommunications,287.0,283.0,Hacker Group,Social Engineering,Antivirus,
USA,2016.155158290024,Ransomware,Healthcare,161.0,243.0,Insider,Unpatched Software,Encryption,289.0
India,2015.1610023917708,DDoS,Healthcare,120.0,221.0,Insider,Unpatched Software,AI-based Detection,254.0
Russia,2015.949456766531,Man-in-the-Middle,IT,235.0,276.0,Unknown,Unknown,Encryption,378.0
China,2016.018436809357,DDoS,Telecommunications,144.0,188.0,Hacker Group,Social Engineering,Antivirus,344.0
UK,2015.0897962800625,Man-in-the-Middle,Government,280.0,259.0,Insider,Zero-day,Antivirus,507.0
China,2015.69815359826,DDoS,IT,106.0,172.0,Unknown,Unpatched Software,VPN,288.0
Russia,2017.948768827275,Ransomware,Education,287.0,191.0,Nation-state,Social Engineering,Encryption,
Unknown,2023.9859784416608,Man-in-the-Middle,Retail,448.0,423.0,Unknown,Unpatched Software,Antivirus,410.0
China,2024.124227867552,Phishing,IT,505.0,504.0,Unknown,Zero-day,VPN,404.0
Australia,2018.8630142696104,DDoS,IT,319.0,362.0,Hacker Group,Zero-day,Unknown,350.0
China,2021.961710456515,Phishing,Telecommunications,429.0,431.0,Insider,Zero-day,Firewall,403.0
France,2018.0268222937727,Phishing,Government,396.0,390.0,Insider,Social Engineering,Encryption,503.0
Japan,2017.9454051313364,DDoS,IT,394.0,366.0,Unknown,Unpatched Software,Encryption,524.0
France,2022.9132495817555,Malware,Banking,384.0,388.0,Unknown,Zero-day,Unknown,355.0
Unknown,2021.0505247369308,Ransomware,Unknown,320.0,380.0,,Zero-day,Unknown,302.0
Russia,2014.80187561676,DDoS,IT,106.0,192.0,Nation-state,Social Engineering,AI-based Detection,283.0
Germany,2024.1010677366392,Phishing,Healthcare,381.0,408.0,Unknown,Unpatched Software,VPN,298.0
Australia,2017.9956403693805,SQL Injection,Banking,256.0,320.0,Unknown,Social Engineering,Firewall,322.0
Unknown,2021.911715627772,Unknown,Unknown,229.0,307.0,Nation-state,Weak Passwords,VPN,194.0
USA,2015.818602963746,DDoS,IT,101.0,174.0,Hacker Group,Social Engineering,VPN,277.0
Japan,2017.7540151634385,DDoS,IT,363.0,345.0,Insider,Zero-day,VPN,487.0
France,2023.9871402858976,Phishing,Education,320.0,357.0,Nation-state,Unpatched Software,VPN,252.0
Japan,2017.87884866518,DDoS,Telecommunications,240.0,294.0,Hacker Group,Social Engineering,Firewall,312.0
Unknown,2016.1113956031631,Phishing,Retail,47.0,151.0,Unknown,Unpatched Software,Antivirus,215.0
Japan,2015.275400705419,Malware,Banking,254.0,310.0,Nation-state,Unpatched Software,Firewall,375.0
Brazil,2023.8003982552293,Phishing,Retail,511.0,451.0,Hacker Group,Unknown,Firewall,500.0
UK,2022.073277782462,DDoS,Government,453.0,405.0,Unknown,Zero-day,VPN,491.0
Germany,2024.043393648652,Phishing,Government,279.0,332.0,Insider,Unknown,Antivirus,200.0
Brazil,2019.8964775001248,DDoS,Telecommunications,227.0,277.0,Unknown,Social Engineering,VPN,274.0
India,,Man-in-the-Middle,Banking,287.0,318.0,Nation-state,Weak Passwords,VPN,470.0
China,2018.8061354442025,Malware,,252.0,300.0,Nation-state,Weak Passwords,Encryption,336.0
Germany,2018.156505005916,SQL Injection,Retail,268.0,308.0,Unknown,Zero-day,AI-based Detection,344.0
Russia,2023.0181554803885,Man-in-the-Middle,IT,431.0,475.0,Hacker Group,Unpatched Software,Encryption,323.0
Germany,2022.98179844643,SQL Injection,Healthcare,383.0,416.0,Hacker Group,Weak Passwords,AI-based Detection,310.0
Brazil,2021.8916031507672,Phishing,Education,273.0,346.0,Unknown,Unpatched Software,Encryption,230.0
Unknown,2016.9429205340468,Man-in-the-Middle,IT,215.0,240.0,Hacker Group,Unpatched Software,Firewall,382.0
Brazil,2022.8792653715773,Phishing,Banking,441.0,463.0,Unknown,Zero-day,AI-based Detection,362.0
USA,2018.9682296235649,SQL Injection,Education,287.0,290.0,Unknown,Weak Passwords,VPN,342.0
Brazil,2020.4701170150647,Phishing,Telecommunications,339.0,367.0,Hacker Group,Weak Passwords,AI-based Detection,344.0
Australia,2017.043486973156,Man-in-the-Middle,Telecommunications,259.0,318.0,Nation-state,Weak Passwords,Firewall,344.0
Russia,2017.1385425761007,Unknown,Retail,287.0,240.0,Nation-state,Social Engineering,Encryption,
USA,2020.9425823245767,Unknown,Education,364.0,385.0,Unknown,Social Engineering,Encryption,361.0
Japan,2017.869715986468,DDoS,Telecommunications,228.0,248.0,Nation-state,Weak Passwords,Antivirus,371.0
Russia,2021.856518119556,Phishing,Telecommunications,275.0,297.0,Unknown,Zero-day,Encryption,300.0
Unknown,2021.9818370418309,Man-in-the-Middle,Unknown,287.0,318.0,Insider,Zero-day,Firewall,342.0
Brazil,2023.7609006081216,SQL Injection,Education,455.0,435.0,Insider,Weak Passwords,Unknown,434.0
Germany,2016.787385079651,DDoS,Healthcare,206.0,257.0,Insider,Zero-day,Encryption,356.0
Unknown,2020.009517794841,DDoS,Telecommunications,287.0,341.0,Insider,Social Engineering,Unknown,342.0
India,2018.87703891158,SQL Injection,Banking,244.0,291.0,Nation-state,Zero-day,VPN,317.0
UK,2017.603647678344,DDoS,Banking,168.0,198.0,Nation-state,Weak Passwords,AI-based Detection,334.0
Japan,2018.0128593113404,SQL Injection,Retail,142.0,237.0,Hacker Group,Zero-day,Encryption,244.0
Unknown,2021.1040755010883,Phishing,Telecommunications,283.0,248.0,Hacker Group,Unpatched Software,Antivirus,413.0
Australia,2015.1958596509528,DDoS,Telecommunications,225.0,247.0,Nation-state,Unpatched Software,VPN,409.0
China,2020.977209261068,Malware,Retail,196.0,262.0,Unknown,Social Engineering,,226.0
Russia,2024.0861827973904,Malware,Education,424.0,469.0,Insider,Unpatched Software,Firewall,286.0
Germany,2022.0226504336,Ransomware,Telecommunications,287.0,291.0,Unknown,Zero-day,Encryption,
China,2017.986354103779,Malware,Education,259.0,285.0,Nation-state,Zero-day,Encryption,368.0
Brazil,2016.9566145671367,DDoS,Education,199.0,189.0,Insider,Zero-day,AI-based Detection,413.0
Germany,2024.064133965013,SQL Injection,IT,287.0,394.0,Insider,Weak Passwords,Encryption,
Japan,2014.8145708087327,Phishing,Banking,125.0,142.0,Nation-state,Zero-day,Encryption,372.0
Australia,2018.9537166145028,SQL Injection,Healthcare,293.0,285.0,Unknown,Social Engineering,VPN,420.0
UK,2018.8983809632605,Man-in-the-Middle,Unknown,302.0,316.0,Nation-state,Unknown,Encryption,386.0
Russia,2020.03538723308,Phishing,Banking,287.0,331.0,Nation-state,Unpatched Software,AI-based Detection,342.0
Australia,2023.1643183682668,Unknown,IT,473.0,440.0,Nation-state,Unpatched Software,VPN,432.0
Brazil,2018.9452579888384,Ransomware,Telecommunications,254.0,331.0,Insider,Social Engineering,Encryption,281.0
China,2020.9512912442672,SQL Injection,IT,254.0,285.0,Nation-state,Social Engineering,AI-based Detection,286.0
Australia,2024.062712725308,Malware,Telecommunications,467.0,511.0,Nation-state,Unpatched Software,Firewall,322.0
UK,2018.0491333896368,Malware,Government,206.0,258.0,Insider,Unpatched Software,Antivirus,323.0
Brazil,2018.889676531464,Ransomware,Banking,253.0,286.0,Hacker Group,Social Engineering,Encryption,342.0
Brazil,2018.0420232369013,Man-in-the-Middle,IT,295.0,372.0,Unknown,Unpatched Software,Encryption,318.0
Russia,2021.0501522408429,Man-in-the-Middle,Banking,285.0,342.0,Insider,Zero-day,Encryption,276.0
Germany,2023.9394014847944,Malware,Telecommunications,388.0,386.0,Nation-state,Zero-day,Antivirus,338.0
Australia,2018.932444002565,DDoS,Banking,330.0,348.0,Hacker Group,Weak Passwords,Firewall,393.0
USA,2020.928285973515,Phishing,Healthcare,265.0,308.0,Hacker Group,Zero-day,Antivirus,284.0
Australia,2023.8571712663584,Phishing,IT,312.0,354.0,Nation-state,Social Engineering,Firewall,248.0
France,2016.020264764849,DDoS,Telecommunications,262.0,258.0,Insider,Social Engineering,AI-based Detection,456.0
Brazil,2015.977699061464,SQL Injection,Education,103.0,188.0,Unknown,Zero-day,AI-based Detection,251.0
India,2018.8952373535403,Phishing,Banking,223.0,295.0,Nation-state,Unpatched Software,Antivirus,247.0
Russia,2019.8035999531107,DDoS,Healthcare,235.0,301.0,Insider,Zero-day,VPN,276.0
Australia,2018.169316366148,Phishing,Government,226.0,256.0,Unknown,Zero-day,Firewall,354.0
Australia,2018.8910119930065,DDoS,Banking,275.0,303.0,Insider,Unknown,Firewall,368.0
UK,2018.9513569943565,Phishing,Government,352.0,349.0,Insider,Social Engineering,Antivirus,450.0
Brazil,2019.0380603974947,Man-in-the-Middle,Banking,378.0,334.0,Hacker Group,,Firewall,508.0
France,2023.1935928776884,DDoS,Retail,355.0,336.0,Unknown,Unpatched Software,Encryption,379.0
France,2022.0587476437297,Man-in-the-Middle,Retail,292.0,329.0,Insider,Zero-day,Unknown,300.0
Brazil,2017.1035345074813,Phishing,Banking,199.0,249.0,Hacker Group,Zero-day,Encryption,337.0
India,2021.0712544582177,Phishing,IT,384.0,369.0,Hacker Group,Unpatched Software,Antivirus,437.0
USA,2022.1770641848104,SQL Injection,IT,396.0,402.0,Hacker Group,Weak Passwords,AI-based Detection,388.0
UK,2015.0334094213613,DDoS,Telecommunications,287.0,166.0,Insider,Zero-day,VPN,
UK,2023.816827193074,DDoS,Retail,436.0,417.0,Nation-state,Zero-day,Firewall,406.0
France,2020.9728626317103,Phishing,IT,263.0,282.0,Insider,Zero-day,AI-based Detection,325.0
UK,2018.976285300265,Malware,Government,287.0,,Hacker Group,Social Engineering,Unknown,342.0
Brazil,2019.1637103716816,DDoS,Unknown,357.0,387.0,Nation-state,Weak Passwords,Encryption,376.0
France,2017.0425280189224,SQL Injection,Healthcare,232.0,283.0,Nation-state,Social Engineering,AI-based Detection,349.0
UK,2019.843712414981,SQL Injection,Retail,259.0,312.0,Nation-state,Weak Passwords,VPN,269.0
Germany,2018.9885428704613,Man-in-the-Middle,Government,177.0,270.0,Unknown,Zero-day,Firewall,200.0
Russia,2019.9725746099443,Ransomware,IT,353.0,352.0,Hacker Group,Unknown,Antivirus,403.0
France,2021.1174260560024,Man-in-the-Middle,Telecommunications,260.0,339.0,Hacker Group,Unpatched Software,VPN,241.0
Russia,2015.042862373032,Ransomware,IT,73.0,172.0,Insider,Unknown,Unknown,238.0
India,2022.2202323598856,DDoS,IT,334.0,404.0,Insider,Zero-day,Firewall,246.0
China,2020.077731642282,Man-in-the-Middle,Education,454.0,460.0,Hacker Group,Zero-day,Encryption,435.0
USA,2024.048910218992,Malware,Healthcare,409.0,388.0,Nation-state,Zero-day,VPN,376.0
Brazil,2024.260527849925,DDoS,IT,381.0,398.0,Unknown,Weak Passwords,Firewall,305.0
India,2022.771461997425,Malware,Education,403.0,393.0,Hacker Group,Zero-day,VPN,382.0
France,2021.242284415596,SQL Injection,Government,360.0,378.0,Hacker Group,Social Engineering,AI-based Detection,367.0
USA,,Ransomware,Education,287.0,318.0,Unknown,Social Engineering,AI-based Detection,503.0
Japan,2019.0770884714427,DDoS,Retail,215.0,305.0,Insider,Weak Passwords,Firewall,244.0
Australia,2023.9057485148933,DDoS,Banking,365.0,372.0,Insider,Weak Passwords,Firewall,317.0
France,2019.9771457875547,Malware,Banking,407.0,375.0,Nation-state,Zero-day,VPN,494.0
India,2020.9118218255448,Ransomware,Healthcare,345.0,351.0,Insider,Zero-day,Unknown,397.0
France,2020.0772362898144,Man-in-the-Middle,Healthcare,363.0,349.0,Hacker Group,Zero-day,,424.0
Brazil,2017.1051677478663,SQL Injection,Banking,287.0,318.0,Unknown,Zero-day,AI-based Detection,
UK,2014.9976223268047,Phishing,IT,62.0,172.0,Unknown,Social Engineering,Antivirus,227.0
USA,2021.8982880284989,Ransomware,IT,402.0,437.0,Nation-state,Unpatched Software,Encryption,333.0
Russia,2017.891749002674,Phishing,Government,146.0,211.0,Hacker Group,Weak Passwords,Encryption,261.0
Germany,2019.694100428728,Ransomware,Telecommunications,432.0,437.0,Nation-state,Zero-day,Firewall,457.0
Japan,2016.0032435428493,SQL Injection,Government,287.0,,Unknown,Zero-day,Antivirus,342.0
India,2020.2671116755068,Man-in-the-Middle,Banking,328.0,365.0,Insider,Unpatched Software,VPN,339.0
Japan,2019.0616997421484,Malware,Retail,411.0,414.0,Insider,Social Engineering,Antivirus,451.0
India,2018.976404419156,Malware,Retail,218.0,297.0,Unknown,Zero-day,Unknown,253.0
Unknown,2021.9979254064096,Ransomware,Retail,318.0,353.0,Hacker Group,Unpatched Software,AI-based Detection,321.0
France,2014.9193638700192,Phishing,Banking,131.0,187.0,Insider,Unpatched Software,Antivirus,328.0
Russia,2024.184812807172,Ransomware,Healthcare,422.0,421.0,Insider,Weak Passwords,Antivirus,365.0
Japan,2020.0511368088128,Ransomware,Healthcare,230.0,285.0,Hacker Group,,VPN,289.0
Brazil,2020.162692655731,DDoS,Government,386.0,378.0,Hacker Group,Zero-day,Unknown,426.0
Germany,2019.9238699820385,Ransomware,IT,279.0,267.0,Nation-state,Zero-day,Antivirus,395.0
Japan,2017.963627537156,Phishing,IT,230.0,259.0,Nation-state,Unpatched Software,Unknown,347.0
USA,2019.9632232318231,Ransomware,Telecommunications,396.0,383.0,Unknown,Unknown,VPN,444.0
Australia,2024.183750229188,Phishing,Education,407.0,401.0,Hacker Group,Unknown,Antivirus,363.0
UK,,Malware,Education,287.0,318.0,Unknown,Social Engineering,Encryption,258.0
France,2016.0824674406388,Man-in-the-Middle,IT,137.0,254.0,Nation-state,Social Engineering,VPN,218.0
UK,2022.202374471847,Phishing,Retail,281.0,309.0,Unknown,Unknown,Encryption,304.0
Australia,2015.1272888718192,Man-in-the-Middle,Healthcare,152.0,184.0,Hacker Group,Zero-day,Unknown,360.0
China,2017.056825199561,Phishing,Healthcare,273.0,329.0,Hacker Group,Weak Passwords,AI-based Detection,358.0
